FAC_CD,DTA_TYP_CD,ACCTG_YR,ACCTG_PRD_NO,JE_NO,IP_ENT_NO,JE_GRP_NO,SEQ_NO,PCTR_FAC_CD,PCTR_LWR_TIER_1,PCTR_LWR_TIER_2,FNCL_ORG_CD,FNCL_ORG_TYP,NEW_FNCL_ACCT_NO,BDGT_SRC_CD,PRD_VAR_CD,CCY_CD,SRC_CCY_CD,ACCTG_ORD_NO,LBR_OR_MATL_IND,CTL_ACCT_NO,JE_DR_AMT,RCVBL_INVC_CTL_NO,JE_NM,NON_US_LOCL_CD,TX_CD,CNVRT_RATE,CCY_CNVRT_DT,TRNSLT_CCY_CD,TRNSLT_AMT,VAT_AMT,PRCH_DT,CCY_RATE_TYP_CD,SRC_AMT,FOGAP_SRC_IND,DEPT_NO,CCY_TRNSLT_DT,TRNSLT_RATE,PROD_SER_NO,SLS_MDL_NO,CAT_ID_NO,CUST_CD,MFG_FAC_CD,BUY_FAC_CD,JE_HR,PART_PROD_CD,JE_MISC_QTY,SUPP_ID_CD,LAST_UPDT_ACTV_ID,UPDT_USER_LOGON_ID,LAST_UPDT_TS,OWN_FNCL_ORG_ORG,OWNER_CLS_CD,SF_CDC_TS
JA,F,2025,04,918,000,1,1,RY,,,82010,R,1069,AMT,,USD,,15706,,,58.40,,MISCELLANEOUS PARTS STORES REQS,,,0.00000000,0001-01-01,,0.00,0.00,0001-01-01,,0.00,M,J0980,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,D7ZZ6665,2025-04-02 04:10:43.000,     , ,2025-04-02 09:10:55.000
JA,F,2025,04,918,000,1,1,TY,,TYXXX,AAAAA,R,G985300000,AMT,,USD,,15706,,,-58.40,,MISCELLANEOUS PARTS STORES REQS,,,0.00000000,0001-01-01,,0.00,0.00,0001-01-01,,0.00,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,D7ZZ6665,2025-04-02 04:10:43.000,     , ,2025-04-02 09:10:55.000
JA,F,2025,04,LEA,002,1,17,TY,,TYXXX,AAAAA,R,G170200201,AMT,,USD,USD,0,,,3.39,179387,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,3.39,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,20,TY,,TYXXX,AAAAA,R,G170200202,AMT,,USD,USD,0,,,581.33,181286,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,581.33,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,11,TY,,TYXXX,AAAAA,R,G170200201,AMT,,USD,USD,0,,,0.63,179209,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,0.63,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,003,1,1,TY,,TYXXX,AAAAA,R,G170200201,AMT,,USD,USD,0,,,4123.52,181286,ST/LT Reclass,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,4123.52,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,11,RY,,,AAAAA,R,S172100000,AMT,,USD,USD,0,,,582.50,176747,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,582.50,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,1,TY,,TYXXX,AAAAA,R,A3060LEASE,AMT,,USD,USD,0,,,-897.00,179387,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,-897.00,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,22,RY,,,LEARY,R,2734,AMT,,USD,USD,0,,,0.01,177365,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,0.01,M,J0905,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,34,TY,,TYXXX,AAAAA,R,S174901000,AMT,,USD,USD,0,,,5.15,179209,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,5.15,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,15,RY,,,AAAAA,R,S172100000,AMT,,USD,USD,0,,,1759.70,181739,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,1759.70,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,8,TY,,TYXXX,AAAAA,R,A3060LEASE,AMT,,USD,USD,0,,,-999.46,183258,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,-999.46,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
JA,F,2025,04,LEA,002,1,2,RY,,,AAAAA,R,F5300USD00,AMT,,USD,USD,0,,,-1759.70,181739,Monthly Activity,,,1.00000000,0001-01-01,,0.00,0.00,2025-04-01,,-1759.70,M,,0001-01-01,0.00000000,,,,,,,0.0,,0,,A,Z1US8905,2025-04-28 11:27:08.000,     , ,2025-04-28 16:30:11.000
